Address,Avg Time Between Received Transactions (mins),Time Span of Transactions (mins),Unique Senders to Receiver,Min Value Received,Max Value Received,Avg Value Received,Total Transactions,Total Cryptocurrency Received,Remaining Cryptocurrency Balance
0x8d9da7a7053049691265535573a2f572391b072c,0.00,0.00,1,0.089312960319807122,0.089312960319807122,0.089312960319807122,1,0.089312960319807122,0.089312960319807122
0x3a30afe62a8382b8a76bf80b8d42e5518829b6e2,5001.72,25008.60,1,0.026459159991717988,0.345510909501628716,0.170788431136200652,6,1.024730586817203859,1.024730586817203859
0xf63f5fcc54f5fd11f3c098053f330e032e4d9259,7828.73,23486.20,1,0.022580045622361721,0.797774717610835737,0.225035304393788743,4,0.900141217575154973,0.900141217575154973
0xfda3368e9aa37d3104bb38e46e9e7e856147ab7c,443.20,443.20,1,0.036838026941166696,0.074465138929422123,0.055651582935294409,2,0.111303165870588819,0.111303165870588819
0xd73d7042f67d2081bf3e709934c48433542ebe4a,1109.48,24408.60,1,0.021070835135415973,1.795728886099145383,0.200463612740551328,23,4.610663093032680848,4.610663093032680848
0x9780713736db73d09b7fecba15c25679f55bd13e,5714.00,17142.00,1,0.048536976451466048,0.250215092693640617,0.102885565578715199,4,0.411542262314860796,0.411542262314860796
0x6c9a488d2a30716d747d7c550cd056f01397a968,21043.80,21043.80,1,0.029586485682432065,0.052236958322226801,0.040911722002329433,2,0.081823444004658866,0.081823444004658866
0x62b0c2e2eb4f479d8ddc1bc552d41b7275b17576,0.00,0.00,1,0.118578188142643565,0.118578188142643565,0.118578188142643565,1,0.118578188142643565,0.118578188142643565
0x684a6cca1c858bb7588144c843e9162cf8884d66,0.00,0.00,1,1.305350892519177242,1.305350892519177242,1.305350892519177242,1,1.305350892519177242,1.305350892519177242
0x497453dfaf3205da492d74314716b09c366c6df6,16087.40,16087.40,1,0.026695513103265230,0.055893819260940968,0.041294666182103097,2,0.082589332364206194,0.082589332364206194
0x5675801e9346ea8165e7eb80dccd01dca65c0f3a,22339.80,22339.80,1,0.031631854517866251,0.516624443777464526,0.274128149147665368,2,0.548256298295330735,0.548256298295330735
0x3e3e93e70e03a374cd0d8752c707cb13d4a6066a,5634.25,22537.00,1,0.025349481188496063,0.067953403514654204,0.043906758921416010,5,0.219533794607080057,0.219533794607080057
0xc4bc404e7bddb11cb8e6b633d6fa5714b9afc17c,5770.00,23080.00,1,0.038417876230023101,0.136946665460575739,0.072968411299142111,5,0.364842056495710554,0.364842056495710554
0x218f23c2b1cbc74525ee557ee366b636f4731636,0.00,0.00,1,0.086015252673270634,0.086015252673270634,0.086015252673270634,1,0.086015252673270634,0.086015252673270634
0xcd024414b9fd0c702df325ecc762f0bf8b32f46a,7467.40,7467.40,1,0.039302170866998255,0.209259100925779429,0.124280635896388839,2,0.248561271792777677,0.248561271792777677
0x3d08cc653ec3df0c039c3a1da15ed0ceea3b0acc,6254.33,18763.00,1,0.033746147750238632,0.116891895206995375,0.072674066714656690,4,0.290696266858626762,0.290696266858626762
0x4675c7e5baafbffbca748158becba61ef3b0a263,12.48,22595.60,1,0.011819312891795676,5.830240954186795221,0.154351300242089789,1811,279.530204738424629340,279.530204738424629340
0xa27cef8af2b6575903b676e5644657fae96f491f,387.54,22477.60,1,0.019855711981424357,3.660769109319908843,0.167305719151189553,59,9.871037429920184181,9.871037429920184181
0x31a47094c6325d357c7331c621d6768ba041916e,6877.27,20631.80,1,0.016124837166391084,2.502650227268045757,0.680235081891257920,4,2.720940327565031680,2.720940327565031680
0xf97eaea11d05ca90e710267bd5bec35f32df2290,0.00,0.00,1,0.144421630409011598,0.144421630409011598,0.144421630409011598,1,0.144421630409011598,0.144421630409011598
0x8c468c91d3dcf95807390205c74b1afa6fa49e1d,0.00,0.00,1,0.227346077479453179,0.227346077479453179,0.227346077479453179,1,0.227346077479453179,0.227346077479453179
0x72883656c0468f5867179444c48fa2fbc3f9f4f2,0.00,0.00,1,0.188006083359441634,0.188006083359441634,0.188006083359441634,1,0.188006083359441634,0.188006083359441634
0xa2d4535b7e453573428943adb160bd69285ad681,3146.57,22026.00,1,0.062888447305672168,0.281991053013283144,0.134182994729481697,8,1.073463957835853577,1.073463957835853577
0x4c54facfcbdecdaefd722bf6acc7ec8863d1c715,0.00,0.00,1,0.027985518902090011,0.027985518902090011,0.027985518902090011,1,0.027985518902090011,0.027985518902090011
0x2e08451b79a01cda253811e45719ceb42640c20d,1294.84,22012.20,1,0.025728076946301744,8.623535465208282957,0.550041068406535549,18,9.900739231317640332,9.900739231317640332
0x991217ef9f96456e5df5e158f444f25e9638c6d8,4145.24,20726.20,1,0.019682982896937224,0.207648902818474979,0.061576390309152955,6,0.369458341854917716,0.369458341854917716
0x6b79f9fc634cf657b6bb33749ea4c5cda552f0a7,0.00,0.00,1,0.059338200224511133,0.059338200224511133,0.059338200224511133,1,0.059338200224511133,0.059338200224511133
0xe887312c0595a10ac88e32ebb8e9f660ad9ab7f7,308.84,21618.80,1,0.018150743184615764,28.099382156282711520,0.568845766697747002,71,40.388049435540040122,40.388049435540040122
0xcbfa884044546d5569e2abff3fb429301b61562a,303.33,21536.40,1,0.026271600920222776,1.669762796576847341,0.189857647339457480,72,13.669750608440939033,13.669750608440939033
0x60bcb7fe344c5024ab0ce07c63426d856afb2d39,0.00,0.00,1,0.090219187359139599,0.090219187359139599,0.090219187359139599,1,0.090219187359139599,0.090219187359139599
0x85a48e017c2f09037046656f2dbb063c3c1d3ce2,10227.00,20454.00,1,0.105564208187467951,0.339145169876093056,0.208701102940359595,3,0.626103308821078786,0.626103308821078786
0xaab9e3b53ad35a4dcdd7a8a83a016837ebb5532b,3626.00,3626.00,1,0.056848552658787285,0.061881917956191801,0.059365235307489543,2,0.118730470614979086,0.118730470614979086
0x236275902a21de9e18752c9642b10a110c9f0ecf,3332.30,19993.80,1,0.028781541705244672,0.108271371565505495,0.055436199883629286,7,0.388053399185404990,0.388053399185404990
0x572f27cf5bd03719d9588964c907a908877894ae,6937.20,20811.60,1,0.025547561782087797,0.074304063491086828,0.053741660115858167,4,0.214966640463432668,0.214966640463432668
0x790817ad78a3a8799f45a7affff506c6b7cd42ee,0.00,0.00,1,0.031597556843412658,0.031597556843412658,0.031597556843412658,1,0.031597556843412658,0.031597556843412658
0x34f4261360d0372176d1d521bf99bf803ced4f6b,1860.89,20469.80,1,0.044642689607468367,8.263749064012646528,1.208742940416605238,12,14.504915284999263747,14.504915284999263747
0x0c19a07242755b3f107cfb4c74d236a18548541f,17474.20,17474.20,1,0.069154527696135060,0.177395492231227137,0.123275009963681098,2,0.246550019927362196,0.246550019927362196
0xc2f3c4ebe3a323e6cad696c3ae86cb4f8dad4ee6,0.00,0.00,1,0.339562456335566920,0.339562456335566920,0.339562456335566920,1,0.339562456335566920,0.339562456335566920
0xef93a7ac3c4829238e58dfc39872c936875a5a5c,0.00,0.00,1,0.294687542426545934,0.294687542426545934,0.294687542426545934,1,0.294687542426545934,0.294687542426545934
0xc50f45ff429d42059a20b4ba1d11530934522630,5084.00,20336.00,1,0.060132975357217899,0.869396972951585800,0.330820087408798480,5,1.654100437043992455,1.654100437043992455
0x30583a30d1698358e1101650c4e7f534f03e7a73,4655.50,18622.00,1,0.051352623800250602,0.401711446172081488,0.159361876440628325,5,0.796809382203141681,0.796809382203141681
0x6b3a8798e5fb9fc5603f3ab5ea2e8136694e55d0,1156.16,19654.80,1,0.023277027228493983,0.595500107025818126,0.125167114525226997,18,2.253008061454086164,2.253008061454086164
0x4c992ec2d310ad988ed4b6874f6c3ca129358cfa,2037.98,20379.80,1,0.035452079453252058,1.293475244781941980,0.209436843370390147,11,2.303805277074291613,2.303805277074291613
0x128cbcf80d6fc5fbb475249078e1ee5aea6f2258,0.00,0.00,1,0.074853341749546956,0.074853341749546956,0.074853341749546956,1,0.074853341749546956,0.074853341749546956
0x59c9663ff438f9a0023cec71a29d6d3f0f26b791,14031.80,14031.80,1,0.105543786545683596,0.203923578882687973,0.154733682714185777,2,0.309467365428371555,0.309467365428371555
0x2eeb301387d6bda23e02fa0c7463507c68b597b5,1016.03,20320.60,1,0.025828937771250341,0.793206926384393718,0.119879417371196589,21,2.517467764795128460,2.517467764795128460
0x0e79f1f33ec7c932ed9388938726d225b83a03f5,0.00,0.00,1,0.187355849730342472,0.187355849730342472,0.187355849730342472,1,0.187355849730342472,0.187355849730342472
0x914e0625480a39dc3b4576f0be4c3cd1ce84fa0c,0.00,0.00,1,0.417096475669623323,0.417096475669623323,0.417096475669623323,1,0.417096475669623323,0.417096475669623323
0x4e9cc05f7f944d618de85396e669922c2cf6813e,620.50,20476.40,1,0.022195727529373575,1.017909902826405810,0.127613180907289681,34,4.338848150847849361,4.338848150847849361
0x7224e2887d20c4286f928d43f2c2aeb94bbcd500,902.43,19853.40,1,0.022082692664674913,1.252150014793968369,0.154269357137992363,23,3.548195214173824663,3.548195214173824663
0xe35fbb432dd38d83422ee15696c08543512c783e,19637.80,19637.80,1,0.082389905318597412,0.139192587968917925,0.110791246643757668,2,0.221582493287515336,0.221582493287515336
0xe4a8dfca175cdca4ae370f5b7aaff24bd1c9c8ef,961.28,20186.80,1,0.017844884396859679,0.588654384145240739,0.108887407282793669,22,2.395522960221460718,2.395522960221460718
0x926f974a623c51cac02c7f5c178dc6d2f431c23d,0.00,0.00,1,0.698623773448243668,0.698623773448243668,0.698623773448243668,1,0.698623773448243668,0.698623773448243668
0x772ec531728375d1db6264f08348a1bd872d543c,0.00,0.00,1,0.082840717835490602,0.082840717835490602,0.082840717835490602,1,0.082840717835490602,0.082840717835490602
0xf7369e74329be2b8d041e89c55278d1127eda1cb,0.00,0.00,1,0.099545626398658174,0.099545626398658174,0.099545626398658174,1,0.099545626398658174,0.099545626398658174
0x4a6330220914727a2456a8a059f1ac5b5a1e5b6a,1525.80,19835.40,1,0.033512997181217530,1.572564721188068004,0.234720796853278374,14,3.286091155945897402,3.286091155945897402
0x5914cdd5c32cc33837cba58c1b616920b8338c37,0.00,0.00,1,0.117138624719842141,0.117138624719842141,0.117138624719842141,1,0.117138624719842141,0.117138624719842141
0xddf4c5025d1a5742cf12f74eec246d4432c295e4,679.01,19691.40,1,0.018842670367474664,1.620206253341976543,0.201731669248599560,30,6.051950077457986410,6.051950077457986410
0x8d0d35169cc73b5a9a2e5dabf794615cea019487,17405.40,17405.40,1,0.067660826434369506,0.075335256500129844,0.071498041467249668,2,0.142996082934499336,0.142996082934499336
0xa1feaf41d843d53d0f6bed86a8cf592ce21c409e,3174.60,19047.60,1,0.043193094868502271,0.620461076070274009,0.147348294531225166,7,1.031438061718576105,1.031438061718576105
0x90162ad4623910bd53ea3c1f64acbf360678f8ba,0.00,0.00,1,0.054226726790687227,0.054226726790687227,0.054226726790687227,1,0.054226726790687227,0.054226726790687227
0x75eaba965577fee13f86ac2541461a8a905b5c01,14532.20,14532.20,1,0.036945074508654106,0.339828082898705530,0.188386578703679808,2,0.376773157407359616,0.376773157407359616
0x9796593bafc9fe5c61630cc29d275cc6be40b064,0.00,0.00,1,0.030679043908457580,0.030679043908457580,0.030679043908457580,1,0.030679043908457580,0.030679043908457580
0x4cd195644cfd5dd248d7cac6199088e51ab5eb42,0.00,0.00,1,0.448135991269476397,0.448135991269476397,0.448135991269476397,1,0.448135991269476397,0.448135991269476397
0x464daad44a621a2fbd918eda14973854f2da918f,10556.40,10556.40,1,0.051384936017570819,0.058160083511489546,0.054772509764530186,2,0.109545019529060372,0.109545019529060372
0xcad48312a3b004209ade8df639dbeeff63c1f95d,4577.00,18308.00,1,0.033613403431889004,0.229065075628109238,0.100862997062319243,5,0.504314985311596242,0.504314985311596242
0x94e54e7dac92f96631d15c6119d329dbb778b764,4790.40,19161.60,1,0.065629724780474449,2.187196743026190937,0.610020212607724543,5,3.050101063038622939,3.050101063038622939
0x86c9ee9d8ba417d5c330fc8f68503b616b628b6d,18325.00,18325.00,1,0.060710259076234674,0.126134189520134443,0.093422224298184559,2,0.186844448596369117,0.186844448596369117
0xf22e098cb0d6c24d88ab79c1ce87b73ea26e608f,1104.89,18783.20,1,0.025160006381754880,2.634041604511091705,0.242481494449656193,18,4.364666900093811641,4.364666900093811641
0x5f7ce8b4778ff47921566d91836b45cfba925d06,0.00,0.00,1,0.056107959073340583,0.056107959073340583,0.056107959073340583,1,0.056107959073340583,0.056107959073340583
0x40638c53d6ef529243a981844b7192744640dd40,960.65,19213.00,1,0.030976187257379065,0.938772623083008018,0.152643996772019758,21,3.205523932212415161,3.205523932212415161
0x1dfbf63409fbbb142adccad87aa2af462c7532f3,3709.60,14838.40,1,0.020736793262434473,0.198551534720222522,0.084222221959649526,5,0.421111109798247618,0.421111109798247618
0x08a9a43fca6e4f5478db1abf80119ef01ce36eac,1047.44,18854.00,1,0.025797931484779643,2.604283874305802549,0.231625369554139759,19,4.400882021528655486,4.400882021528655486
0x544338a83a88755d8537cb248ce7714db86dd0f8,18635.40,18635.40,1,0.055661139342134007,0.311313303549335896,0.183487221445734955,2,0.366974442891469910,0.366974442891469910
0x8b91d3f7e239db69f9262d90422f2b206c6be108,0.00,0.00,1,0.012484201149853840,0.012484201149853840,0.012484201149853840,1,0.012484201149853840,0.012484201149853840
0xc25a272a4d2ef4c80173187bf69f4238c5b6564f,907.80,18156.00,1,0.028217557398645423,0.612876635774272205,0.114081329533699302,21,2.395707920207685415,2.395707920207685415
0x3ec0977544889c0bb3115e5e8c654e24cd36e7d3,1882.42,15059.40,1,0.018377945343662203,0.094084200410853969,0.043109369912138797,9,0.387984329209249190,0.387984329209249190
0x4c3d2d55713e625c6446752d5b111a879c099016,17224.40,17224.40,1,0.031671467846068987,0.064771158995489062,0.048221313420779024,2,0.096442626841558049,0.096442626841558049
0x4e71f9debec9117f1facc7eeb490758af45806a7,1015.70,18282.60,1,0.040380601995185457,2.861372709529999891,0.280410934528200262,19,5.327807756035804587,5.327807756035804587
0xac91bc453eb348a51b1a79f4f242386aa2efe12f,12239.80,12239.80,1,0.038432580057451718,0.438498460268932688,0.238465520163192196,2,0.476931040326384392,0.476931040326384392
0x634316ea0ee79c701c6f67c53a4c54cbafd2316d,1150.21,18403.40,1,0.025520574678829434,2.934682338990437955,0.295781039618027430,17,5.028277673506466705,5.028277673506466705
0xa1e0fc126c7ef6a7f3036cc243688ebe3598220e,7516.00,15032.00,1,0.025020182069419479,0.076774125343487445,0.048570175698701458,3,0.145710527096104381,0.145710527096104381
0x003a4cc04501e9adecf850313db2d3797df801a2,2483.66,17385.60,1,0.022666910343993318,0.830438893155242219,0.154100896890974559,8,1.232807175127796473,1.232807175127796473
0x42e05dc97e7baf3e1ecaaa657f2a8c479038d81b,0.00,0.00,1,0.046336660716551237,0.046336660716551237,0.046336660716551237,1,0.046336660716551237,0.046336660716551237
0xc457c11e2d7b6ed68516cded897c2ab9f41e022c,1025.07,17426.20,1,0.019620391149127250,0.796988571781889865,0.151337202719721925,18,2.724069648954994705,2.724069648954994705
0xade7f9e2c809309547df9b4215b93f70d7759a87,7374.20,14748.40,1,0.042295377843650409,0.139367541099666509,0.080865423153178351,3,0.242596269459535052,0.242596269459535052
0x123b9747ede9db10f64e0c5c6fd0f5ac68a0a806,1385.78,18015.20,1,0.035721413458892799,0.216224775808394554,0.087557436794637095,14,1.225804115124919269,1.225804115124919269
0x5ed1b7943573a484afd9c873597d2b72dc507293,0.00,0.00,1,0.230296618825507532,0.230296618825507532,0.230296618825507532,1,0.230296618825507532,0.230296618825507532
0xe4a793c56f82590e058d1defa5d2b3b96f55f704,0.00,0.00,1,0.055587334746879179,0.055587334746879179,0.055587334746879179,1,0.055587334746879179,0.055587334746879179
0x378cdc4e9e9bccd7aeda011888ecf6a8528271fb,1788.84,16099.60,1,0.015540784623661076,0.151875456232570816,0.072546020260212049,10,0.725460202602120519,0.725460202602120519
0xbeed9a1a750945966cfc8800abd4cf7eecd22500,4306.53,12919.60,1,0.038439541335125914,0.065627994291945754,0.047823923534838733,4,0.191295694139354933,0.191295694139354933
0xfa731901355d13185b72f9fe41ff00116e9a5ef8,0.00,0.00,1,0.082924151740277854,0.082924151740277854,0.082924151740277854,1,0.082924151740277854,0.082924151740277854
0x992a7a7d9267d114959dd0c9d072d965c4f54419,0.00,0.00,1,0.059947244460484779,0.059947244460484779,0.059947244460484779,1,0.059947244460484779,0.059947244460484779
0x7a2b06e9517257b7ba8689138b54b01585757515,10361.00,10361.00,1,0.033713247516511891,0.280981745995048326,0.157347496755780109,2,0.314694993511560217,0.314694993511560217
0x79b16190511314b443754cb3760ad54f5d442429,7965.20,15930.40,1,0.019449061110050406,0.253378877451680307,0.141613523166889549,3,0.424840569500668619,0.424840569500668619
